id,pin_code,place,latitude,longitude,created_at,updated_at
2227,713337,"Jaykaynagar, West Bengal",23.8469523,86.9035212,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2228,713341,"Kanyapur, West Bengal",23.6705724,86.9666764,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2229,713346,"Pandaveswar, West Bengal",23.7172113,87.2703982,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2230,713363,"Ukhra, West Bengal",23.6474107,87.2446639,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2231,713371,"Mithani, West Bengal",23.6705724,86.9666764,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2232,713501,"Bagnapara, West Bengal",23.2421852,88.3289884,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2233,713516,"Panuhat, West Bengal",22.6950342,88.4073585,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2234,721137,"Machada, West Bengal",22.4475602,87.8922662,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2235,721142,"Ramtarakhat, West Bengal",22.3497409,87.5555339,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2236,721146,"Sekandari, West Bengal",22.9493156,88.6384756,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2237,722158,"Saltora, West Bengal",23.5217886,86.935786,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2238,722206,"Patrasayer, West Bengal",23.21639265,87.5133532481913,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2239,712424,"Antpar, West Bengal",12.9992734,77.5493702,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2240,713142,"Khandaghosh, West Bengal",23.1247122,87.7707683682183,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2241,713147,"Nutanhat, West Bengal",23.4469677,87.4546869303269,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2242,713154,"Amadpur, West Bengal",23.4469677,87.4546869303269,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2243,713160,"Gonpur, West Bengal",23.2527176,87.8456167088229,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2244,713167,"Orgram, West Bengal",23.435726,87.7635526,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2245,713203,"Durgapur Steel Project St, West Bengal",23.53941955,87.254626889464,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2246,713304,"Hill View, West Bengal",23.6847268,86.9546123,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2247,713330,"Charanpur, West Bengal",23.6851336,86.9754567,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2248,713380,"Kendra, West Bengal",23.6979744,87.6434671,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2249,713387,"Nadiha, West Bengal",23.48454125,88.5567630747054,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2250,713406,"Galsi, West Bengal",23.3388381,87.6907004,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2251,713421,"Raina, West Bengal",23.0707856,87.9027448,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2252,713427,"Uchalon, West Bengal",23.4469677,87.4546869303269,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2253,721148,"Rohini, West Bengal",26.7646704,88.3364677,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2254,721156,"Marhtala, West Bengal",23.9698127,88.040676351825,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2255,722102,"Kenduadihi, West Bengal",23.23736625,87.0445233952588,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2256,722137,"Jhanti Pahari, West Bengal",23.3536166,86.9046533,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2257,713433,"Ura, West Bengal",12.9781814,77.5696607,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2258,731101,"Pranabanandapalli, West Bengal",26.31957785,89.4414149287713,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2259,731127,"Mohammad Bazar, West Bengal",24.03588205,87.5903003922919,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2260,731130,"Rajnagar, West Bengal",23.9471353,87.3119756,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2261,731137,"Nagari, West Bengal",22.9393029,88.6378742,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2262,731216,"Mallarpur, West Bengal",24.0772645,87.7224826,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2263,731253,"Bagdola, West Bengal",22.6316084,88.4050744,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2264,734101,"Darjeeling Bazar, West Bengal",27.043746,88.2658591981908,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2265,735101,"Jalpaiguri, West Bengal",26.5242688,88.7201082,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2266,735121,"Danguajhar, West Bengal",26.686055,89.4131176,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2267,735211,"Falakata, West Bengal",26.5179475,89.2012659,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2268,735220,"Madarihat, West Bengal",26.6941144,89.2786204,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2269,735224,"Maynaguri, West Bengal",26.5786085,88.8229099,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2270,735301,"Changrabandha, West Bengal",26.4127385,88.9198861,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2271,735303,"Jamaldah, West Bengal",26.43143,89.029002,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2272,731218,"Mayureswar, West Bengal",23.9833282,87.7634034,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2273,731233,"Chandipur Tarapith, West Bengal",24.1181801,87.7960437,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2274,731243,"Nalhati Township, West Bengal",24.2769,87.9744083290995,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2275,734215,"Nagrispur, West Bengal",26.8866407,88.1877798,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2276,734218,"Phuguri, West Bengal",26.8866407,88.1877798,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2277,734421,"A P Bagdogra, West Bengal",26.7194252,88.3068054,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2278,734430,"North Bengal University, West Bengal",22.5964916,88.4174395,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2279,735138,"Chaulhati, West Bengal",26.4994835,88.6676732,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2280,735217,"Kalchini, West Bengal",26.6910619,89.4474765,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2281,735229,"Sallihat, West Bengal",26.7011224,89.2753101904409,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2282,736131,"Bakshirhat, West Bengal",26.3252008,89.7659933,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2283,736146,"Mathabhanga, West Bengal",26.3403146,89.2155563,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2284,736170,"Ghugumari, West Bengal",26.31957785,89.4414149287713,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2285,734204,"Dow Hill, West Bengal",26.897226,88.283502,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2286,734213,"Lopchu, West Bengal",26.8866407,88.1877798,2022-04-09 15:57:46 UTC,2022-04-09 15:57:46 UTC
2287,781308,"Mandia, Assam",,,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2288,787028,"Nowboicha, Assam",,,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2289,700002,"Satchasipara, West Bengal",22.55897705,88.3437985051968,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2290,700003,"Patrika, West Bengal",29.998388,-90.222244,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2291,700004,"R G Kar M C Hospital, West Bengal",22.6044756,88.378406691258,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2292,700005,"Hatkhola, West Bengal",22.5996105,88.3788189,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2293,700006,"Beadon Street, West Bengal",22.5898402,88.3605481,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2294,700007,"Barabazar H O, West Bengal",22.5386694,88.3723074,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2295,700008,"Barisha, West Bengal",22.5996105,88.3788189,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2296,700009,"Sarani Rarsibagan, West Bengal",22.5627359,88.3594981,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2297,700010,"Subhas Sarobar, West Bengal",22.5030906,88.3113573,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2298,700011,"Narkeldanga, West Bengal",22.5763206,88.3802213,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2299,700012,"Sankaritala, West Bengal",22.55897705,88.3437985051968,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2300,700013,"Mott Lane, West Bengal",22.5080547,88.3533289,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2301,700014,"Taltala, West Bengal",22.59175005,88.4123271242104,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2302,700015,"Seal Lane, West Bengal",22.5633329,88.3802086,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2303,700016,"Elliot Road, West Bengal",22.5505188,88.3615519,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2304,700017,"Circus Avenue, West Bengal",22.5417004,88.362616,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2305,700018,"Bartala, West Bengal",22.5827795,88.352839,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2306,700019,"Ballygunge Science College, West Bengal",22.52655175,88.3623910552296,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2307,700020,"Chandra Bose Road, West Bengal",22.5413491,88.3508921,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2308,799106,"Boxa Nagar, Tripura",,,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2309,799107,"Charilam, Tripura",,,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2310,781007,"Ulubari, Assam",,,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2311,700021,"Fort Willium, West Bengal",22.55449655,88.3380131840883,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2312,700022,"Bakery Road, West Bengal",22.546598,88.3274551,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2313,700023,"Raja Janakinath, West Bengal",22.5147558,88.3575199,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2314,700024,"Reach, West Bengal",22.5481197,88.289735,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2315,700025,"Ramkrishna Park, West Bengal",22.1909942,88.7514899,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2316,700026,"Keoratala, West Bengal",22.5156247,88.3409978362002,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2317,700028,"Kumarpare, West Bengal",26.7690708,88.7396777,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2318,700029,"Sarat Bose Road, West Bengal",22.5234901,88.3521924,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2319,700030,"Sethbagan, West Bengal",29.998388,-90.222244,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2320,700031,"K P Roy Lane, West Bengal",22.5086357,88.377098,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2321,700032,"Hossain Road, West Bengal",22.5270342,88.3199286,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2322,700033,"Indrani Park, West Bengal",22.50135215,88.3509350795994,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2323,700035,"Desh Bandhu Road, West Bengal",22.6480474,88.3616645,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2324,700036,"Bengal Immunity, West Bengal",22.59175005,88.4123271242104,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2325,700037,"Belgachia, West Bengal",22.6059241,88.3863913,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2326,700038,"Sahapur, West Bengal",29.998388,-90.222244,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2327,700039,"Picnic Garden, West Bengal",22.5281329,88.3858345,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2328,700040,"Russa, West Bengal",22.499136,88.3488056,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2329,700041,"Paschim Putuary, West Bengal",22.4810058,88.3430922,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2330,700042,"Bose Pukur Road, West Bengal",22.5133113,88.3828262,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2331,700043,"Sonai, West Bengal",23.3420785,86.3292789,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2332,700045,"La Gardens, West Bengal",22.5080547,88.3533289,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2333,700046,"Gobinda Khatik Road, West Bengal",22.5504857,88.3852865,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2334,700047,"Naktala, West Bengal",22.472836,88.3674517,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2335,700048,"Basak Bagan, West Bengal",22.5842371,88.3635089,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2336,700049,"Nimta, West Bengal",22.9815711,88.6599493,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2337,700050,"South Sinthee, West Bengal",22.6170856,88.3853195,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2338,700051,"Birati, West Bengal",22.6632119,88.4271269,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2339,700052,"Kolkata Air Port, West Bengal",22.5177264,88.3214565,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2340,700054,"Kankurgachi, West Bengal",22.580493,88.38951905,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2341,700055,"Shyamnagar Dum Dum, West Bengal",22.6364899,88.4120228,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2342,700057,"Ariadaha, West Bengal",22.53780505,88.3342530479433,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2343,700058,"Kamarhati Mills, West Bengal",22.6810246,88.3715343,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2344,700060,"Mahendra Banerjee Road, West Bengal",22.4997204,88.2935046,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2345,700061,"Sarsoona, West Bengal",22.59175005,88.4123271242104,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
2346,700062,"W B G S Camp, West Bengal",22.55897705,88.3437985051968,2022-04-09 15:57:47 UTC,2022-04-09 15:57:47 UTC
